Age,BusinessTravel,Department,workmode,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,Laidoff
53,Travel_Rarely,Research & Development,office,3,3,Female,58,3,5,Divorced,No,3,4,26,No
32,Travel_Frequently,Research & Development,Hybrid,1,2,Female,72,1,1,Single,Yes,4,2,10,Yes
42,Travel_Rarely,Sales,office,4,3,Male,48,3,2,Married,No,3,4,10,No
44,Travel_Rarely,Research & Development,office,4,1,Female,42,2,3,Married,No,3,4,24,No
46,Travel_Rarely,Sales,office,4,2,Female,83,3,5,Single,No,3,4,22,No
33,Travel_Rarely,Research & Development,office,3,3,Male,78,3,1,Single,No,3,4,7,No
44,Travel_Rarely,Research & Development,office,4,4,Male,41,3,2,Married,Yes,3,4,9,No
30,Travel_Rarely,Research & Development,office,2,4,Male,83,2,1,Single,No,3,1,10,No
39,Travel_Rarely,Sales,office,3,4,Male,56,3,2,Married,No,3,3,19,Yes
24,Travel_Rarely,Research & Development,office,3,2,Male,61,3,1,Married,Yes,3,1,6,Yes
43,Travel_Rarely,Research & Development,office,2,4,Female,72,4,1,Divorced,No,3,4,6,No
50,Travel_Rarely,Sales,office,2,1,Male,86,2,1,Married,Yes,3,3,3,Yes
35,Travel_Rarely,Sales,office,3,4,Female,97,3,1,Married,No,3,1,2,No
36,Travel_Rarely,Research & Development,office,4,2,Female,82,2,1,Married,Yes,3,4,6,No
33,Travel_Frequently,Sales,office,3,3,Female,42,4,2,Married,No,3,1,10,No
35,Travel_Rarely,Research & Development,office,2,3,Male,75,3,1,Divorced,No,3,3,1,No
27,Travel_Rarely,Research & Development,office,4,4,Female,33,3,1,Divorced,No,3,4,1,No
26,Travel_Rarely,Research & Development,Remote,3,1,Male,48,1,1,Single,No,3,3,1,Yes
27,Travel_Frequently,Sales,office,3,4,Male,37,3,3,Single,No,3,4,9,No
30,Travel_Frequently,Research & Development,office,2,3,Female,58,3,2,Single,No,4,4,12,No
41,Travel_Rarely,Research & Development,Hybrid,3,2,Female,49,3,5,Married,No,3,4,23,Yes
34,Non-Travel,Sales,Remote,4,2,Male,72,3,2,Single,No,4,3,10,No
37,Travel_Rarely,Research & Development,Hybrid,2,2,Male,73,3,1,Married,No,4,1,8,No
46,Travel_Frequently,Sales,office,4,1,Male,98,3,2,Single,Yes,4,3,14,No
35,Travel_Rarely,Research & Development,office,1,4,Male,36,4,1,Married,No,3,4,1,No
48,Travel_Rarely,Research & Development,office,2,1,Male,98,2,3,Single,Yes,3,4,23,Yes
28,Travel_Rarely,Research & Development,office,4,3,Male,50,3,1,Single,Yes,3,3,2,Yes
44,Travel_Rarely,Sales,office,5,2,Female,75,3,2,Divorced,Yes,4,3,9,No
35,Non-Travel,Research & Development,Hybrid,2,3,Male,79,2,3,Married,Yes,3,3,10,No
26,Travel_Rarely,Sales,Remote,3,3,Female,47,2,2,Married,Yes,3,3,5,No
33,Travel_Frequently,Research & Development,office,2,1,Female,98,3,3,Single,Yes,3,3,15,No
35,Travel_Frequently,Sales,Hybrid,5,2,Male,71,3,3,Married,No,4,4,9,No
35,Travel_Rarely,Research & Development,Remote,4,3,Female,30,3,1,Married,Yes,3,3,4,No
31,Travel_Rarely,Research & Development,office,4,4,Male,48,3,2,Divorced,No,4,4,10,No
37,Travel_Rarely,Research & Development,office,4,1,Male,51,2,2,Divorced,No,3,3,7,No
32,Travel_Rarely,Research & Development,office,3,1,Male,33,3,2,Married,Yes,4,2,9,No
38,Travel_Frequently,Research & Development,Remote,5,4,Female,50,3,2,Single,No,3,4,10,No
50,Travel_Rarely,Research & Development,office,2,2,Female,43,2,5,Divorced,Yes,3,4,29,No
59,Travel_Rarely,Sales,Remote,3,1,Female,99,3,3,Single,No,3,4,28,No
36,Travel_Rarely,Research & Development,office,3,3,Female,59,3,3,Divorced,No,3,2,17,No
55,Travel_Rarely,Research & Development,office,3,4,Female,33,3,4,Divorced,Yes,3,3,21,No
36,Travel_Frequently,Research & Development,Hybrid,3,2,Male,95,2,2,Single,No,3,3,6,No
45,Travel_Rarely,Research & Development,office,3,2,Male,59,3,3,Divorced,No,3,3,25,No
35,Travel_Frequently,Research & Development,office,3,2,Male,79,3,1,Married,No,3,4,5,No
36,Travel_Rarely,Research & Development,office,3,4,Male,79,2,1,Married,Yes,3,1,2,Yes
59,Travel_Frequently,Sales,office,1,1,Female,57,2,2,Single,No,3,4,20,No
29,Travel_Rarely,Research & Development,office,3,3,Male,76,3,1,Married,No,4,4,6,No
31,Travel_Rarely,Research & Development,office,4,3,Male,87,3,1,Single,No,3,2,1,No
32,Travel_Rarely,Research & Development,office,3,2,Male,66,3,2,Married,No,3,2,10,No
36,Travel_Rarely,Research & Development,office,3,2,Female,55,4,1,Married,No,3,2,5,No
31,Travel_Rarely,Research & Development,office,4,3,Female,61,3,2,Single,No,4,4,11,No
35,Travel_Rarely,Sales,office,4,3,Male,32,2,2,Single,No,3,2,16,No
45,Travel_Rarely,Research & Development,office,4,4,Male,52,3,3,Married,Yes,3,2,17,No
37,Travel_Rarely,Research & Development,office,4,1,Male,30,3,3,Single,No,3,1,16,No
46,Travel_Rarely,Human Resources,office,2,2,Male,80,3,2,Divorced,Yes,4,4,16,No
30,Travel_Rarely,Research & Development,office,1,4,Male,55,2,2,Married,Yes,3,3,10,No
35,Travel_Rarely,Research & Development,office,3,2,Male,30,2,1,Single,No,3,1,6,No
55,Travel_Rarely,Sales,office,2,1,Male,70,3,3,Married,No,3,4,24,No
38,Non-Travel,Research & Development,office,3,2,Female,79,1,2,Divorced,Yes,3,4,17,No
34,Travel_Rarely,Research & Development,office,2,1,Male,94,3,2,Married,No,3,3,5,No
56,Travel_Rarely,Research & Development,office,3,4,Male,49,1,3,Single,No,3,1,37,No
23,Travel_Rarely,Sales,office,1,3,Male,62,3,1,Divorced,No,3,3,3,No
51,Travel_Rarely,Research & Development,office,4,4,Male,96,3,1,Married,No,4,2,10,No
30,Travel_Rarely,Research & Development,office,3,3,Male,99,2,2,Married,No,3,1,11,No
46,Travel_Rarely,Sales,office,2,3,Male,64,2,3,Single,No,3,4,9,Yes
40,Travel_Frequently,Research & Development,office,4,3,Male,78,2,4,Married,No,4,4,22,No
51,Travel_Rarely,Sales,Remote,4,3,Male,71,3,2,Single,Yes,4,4,11,No
30,Travel_Rarely,Sales,office,2,3,Female,63,2,2,Divorced,Yes,3,2,11,No
46,Travel_Frequently,Research & Development,office,3,3,Male,40,2,3,Married,Yes,3,3,21,No
32,Travel_Rarely,Sales,office,4,2,Male,87,3,2,Single,No,3,1,12,No
54,Travel_Rarely,Research & Development,office,4,1,Female,60,3,3,Married,No,3,1,16,No
24,Travel_Rarely,Sales,office,2,1,Female,33,3,2,Married,No,4,1,4,No
28,Non-Travel,Sales,office,3,2,Male,43,3,2,Married,No,3,2,5,No
58,Travel_Rarely,Sales,office,4,4,Male,37,3,4,Single,No,3,3,38,No
44,Non-Travel,Research & Development,Remote,3,2,Male,67,3,2,Married,No,3,3,17,No
37,Travel_Rarely,Human Resources,office,4,3,Male,63,3,1,Divorced,Yes,4,4,7,Yes
32,Travel_Rarely,Research & Development,office,1,4,Male,71,3,1,Single,No,3,4,1,No
20,Travel_Frequently,Research & Development,office,3,4,Female,66,2,1,Single,Yes,3,2,1,Yes
34,Travel_Rarely,Research & Development,office,4,1,Female,41,3,2,Single,No,3,3,16,No
37,Non-Travel,Research & Development,office,2,3,Male,100,2,2,Divorced,No,3,4,17,No
59,Non-Travel,Human Resources,office,4,3,Female,32,2,5,Married,No,4,4,30,No
50,Travel_Frequently,Research & Development,office,3,1,Female,73,3,5,Married,Yes,3,1,28,No
25,Travel_Rarely,Sales,office,3,3,Male,46,2,2,Single,Yes,3,4,6,Yes
25,Travel_Rarely,Research & Development,office,1,4,Male,64,2,1,Married,No,3,3,2,No
22,Travel_Rarely,Research & Development,Hybrid,3,2,Female,59,3,1,Single,No,3,3,1,No
51,Travel_Frequently,Research & Development,office,4,1,Female,30,2,3,Single,No,4,3,23,No
34,Travel_Frequently,Research & Development,office,3,1,Male,66,1,2,Single,Yes,4,4,9,Yes
54,Non-Travel,Human Resources,Remote,3,4,Female,30,4,4,Single,Yes,3,3,23,No
24,Travel_Rarely,Research & Development,Hybrid,1,2,Male,52,3,1,Married,No,3,3,6,No
34,Travel_Rarely,Research & Development,office,4,3,Female,45,2,2,Divorced,No,3,3,12,No
37,Travel_Rarely,Sales,office,3,3,Male,87,3,3,Single,No,3,1,12,No
34,Travel_Rarely,Research & Development,office,3,3,Female,45,2,3,Single,No,3,4,14,No
36,Travel_Frequently,Sales,Hybrid,2,2,Female,92,3,3,Married,No,3,3,10,No
36,Travel_Rarely,Research & Development,office,2,1,Female,39,3,1,Divorced,No,4,1,7,No
43,Travel_Frequently,Sales,Remote,2,3,Male,92,3,4,Married,Yes,3,4,25,No
30,Travel_Frequently,Research & Development,Remote,3,1,Male,96,1,1,Divorced,No,4,3,10,No
33,Non-Travel,Sales,Remote,2,3,Male,95,3,2,Married,No,3,1,8,No
56,Travel_Rarely,Research & Development,Hybrid,4,2,Female,72,3,1,Married,Yes,3,1,7,Yes
51,Travel_Rarely,Research & Development,office,3,1,Male,51,3,5,Single,No,3,3,23,No
31,Travel_Rarely,Sales,office,4,2,Male,76,1,2,Married,Yes,3,2,12,Yes
26,Travel_Rarely,Research & Development,office,3,3,Female,46,2,1,Married,No,3,3,5,No
58,Travel_Rarely,Research & Development,Remote,4,4,Female,94,3,3,Married,No,3,4,40,Yes
19,Travel_Rarely,Sales,Remote,1,4,Male,50,3,1,Single,Yes,3,4,0,Yes
22,Travel_Rarely,Research & Development,office,1,3,Male,100,3,1,Married,No,3,3,3,No
49,Travel_Rarely,Research & Development,Hybrid,4,3,Female,96,3,2,Married,No,3,3,16,No
43,Travel_Frequently,Research & Development,Remote,3,2,Female,72,4,1,Single,No,3,4,18,No
50,Travel_Frequently,Sales,Hybrid,3,3,Female,77,3,3,Single,No,3,4,16,No
31,Travel_Rarely,Sales,Hybrid,3,2,Female,71,1,2,Married,Yes,3,3,4,Yes
41,Travel_Rarely,Sales,office,1,3,Male,96,3,3,Divorced,Yes,3,3,12,No
26,Travel_Rarely,Human Resources,Remote,1,3,Female,61,3,1,Married,No,4,4,8,No
36,Travel_Rarely,Research & Development,office,2,2,Male,84,3,2,Divorced,No,4,4,7,No
51,Travel_Frequently,Research & Development,office,4,1,Male,53,1,3,Single,No,3,4,18,Yes
39,Travel_Rarely,Sales,office,4,4,Female,47,2,2,Married,No,3,3,17,No
25,Travel_Rarely,Sales,Remote,3,1,Male,41,2,2,Married,No,3,4,6,No
30,Travel_Rarely,Human Resources,office,3,3,Male,48,3,2,Married,Yes,3,4,12,No
32,Travel_Rarely,Research & Development,office,3,1,Female,41,3,1,Single,No,4,1,10,Yes
45,Travel_Rarely,Research & Development,Remote,3,3,Male,83,3,1,Single,No,3,2,9,No
38,Travel_Rarely,Research & Development,office,5,4,Female,32,3,2,Single,Yes,4,2,19,No
30,Travel_Rarely,Research & Development,Hybrid,3,1,Female,75,3,1,Single,No,3,3,5,No
32,Travel_Frequently,Sales,office,2,4,Male,35,1,2,Divorced,No,3,4,9,No
30,Travel_Rarely,Research & Development,office,3,4,Female,84,3,1,Divorced,No,3,4,8,No
30,Travel_Rarely,Research & Development,office,1,2,Male,35,2,1,Single,No,3,4,6,No
41,Travel_Frequently,Research & Development,office,3,4,Male,91,2,4,Divorced,No,3,2,21,No
41,Travel_Rarely,Research & Development,office,4,3,Male,94,3,1,Married,No,4,4,7,No
19,Travel_Rarely,Research & Development,office,1,2,Female,79,3,1,Single,No,3,4,1,No
40,Travel_Frequently,Research & Development,Remote,3,2,Female,54,3,2,Divorced,No,3,1,20,No
35,Travel_Rarely,Sales,office,5,3,Male,94,3,3,Married,No,3,1,10,No
53,Travel_Rarely,Sales,office,2,2,Male,34,3,2,Married,Yes,4,4,13,No
45,Travel_Rarely,Research & Development,office,3,2,Male,60,3,2,Divorced,No,3,3,20,No
32,Travel_Frequently,Sales,office,3,2,Female,43,3,3,Single,No,3,4,9,No
29,Non-Travel,Research & Development,office,1,4,Male,41,3,2,Married,No,3,1,10,No
51,Travel_Rarely,Research & Development,office,4,2,Male,34,2,2,Married,No,3,3,10,No
58,Travel_Rarely,Research & Development,office,3,2,Female,75,2,1,Married,Yes,4,2,9,No
40,Travel_Rarely,Sales,office,4,3,Male,67,2,3,Married,No,3,1,15,No
34,Travel_Frequently,Sales,office,4,3,Female,75,3,1,Married,No,3,4,6,No
22,Travel_Rarely,Research & Development,Hybrid,1,3,Male,80,3,1,Married,No,4,1,2,No
27,Non-Travel,Research & Development,office,3,4,Male,57,3,1,Divorced,No,3,4,6,No
28,Travel_Rarely,Research & Development,Remote,3,3,Male,42,3,1,Married,No,3,3,5,No
57,Travel_Rarely,Research & Development,Remote,2,3,Male,83,4,3,Divorced,Yes,3,2,12,No
27,Non-Travel,Research & Development,office,3,3,Male,79,2,1,Divorced,Yes,3,4,1,No
50,Travel_Rarely,Research & Development,Hybrid,3,3,Female,53,3,5,Single,No,3,2,21,No
41,Travel_Rarely,Research & Development,Hybrid,3,1,Male,56,3,1,Divorced,No,3,1,13,No
30,Travel_Rarely,Sales,office,3,2,Female,41,3,3,Married,No,3,3,12,No
38,Travel_Rarely,Sales,office,4,1,Female,59,2,2,Single,No,4,3,12,No
32,Travel_Rarely,Research & Development,office,5,3,Male,43,3,1,Single,No,4,1,8,No
27,Travel_Rarely,Research & Development,Hybrid,3,3,Male,51,3,1,Married,Yes,3,4,6,No
19,Travel_Frequently,Sales,office,1,3,Female,100,1,1,Single,No,4,1,1,Yes
36,Travel_Frequently,Research & Development,office,2,4,Male,30,3,1,Single,No,3,3,13,No
30,Non-Travel,Research & Development,office,3,3,Male,66,3,2,Divorced,No,3,3,12,No
45,Travel_Rarely,Sales,office,2,3,Female,30,3,2,Divorced,Yes,3,1,9,No
56,Travel_Rarely,Research & Development,office,3,3,Female,67,3,1,Divorced,Yes,3,3,19,No
33,Travel_Rarely,Research & Development,office,3,3,Male,90,3,1,Single,No,3,1,4,No
19,Travel_Rarely,Research & Development,office,3,2,Male,47,2,1,Single,No,4,3,1,Yes
46,Travel_Rarely,Sales,office,2,2,Female,92,3,3,Divorced,No,4,3,24,No
38,Travel_Rarely,Research & Development,office,2,3,Female,75,3,1,Single,No,3,3,2,No
31,Travel_Rarely,Research & Development,Hybrid,1,3,Female,95,3,1,Married,Yes,4,3,7,No
34,Travel_Rarely,Research & Development,Remote,2,4,Female,95,3,1,Single,No,3,4,9,No
41,Travel_Rarely,Sales,Hybrid,2,2,Female,70,3,1,Single,Yes,4,4,4,Yes
50,Travel_Rarely,Research & Development,office,3,3,Male,86,2,1,Married,No,3,4,5,No
53,Travel_Rarely,Research & Development,Hybrid,2,4,Female,57,4,2,Divorced,No,3,3,5,No
33,Travel_Rarely,Research & Development,Hybrid,3,4,Female,72,3,1,Married,No,3,4,8,No
40,Travel_Rarely,Research & Development,office,1,4,Female,46,3,5,Married,No,3,2,21,No
55,Travel_Rarely,Research & Development,Hybrid,4,3,Male,61,4,5,Single,No,3,4,36,No
34,Travel_Frequently,Research & Development,office,1,4,Male,45,2,2,Married,No,3,3,10,No
51,Travel_Rarely,Research & Development,office,3,4,Female,98,3,4,Single,No,3,3,21,No
52,Travel_Rarely,Research & Development,office,4,3,Male,65,2,5,Married,No,3,1,34,No
27,Travel_Rarely,Research & Development,office,3,4,Female,99,3,1,Single,No,3,4,7,No
35,Travel_Rarely,Research & Development,Remote,2,2,Male,50,2,2,Married,Yes,3,1,8,Yes
43,Non-Travel,Research & Development,office,3,4,Male,37,4,1,Divorced,No,3,4,7,No
45,Non-Travel,Research & Development,office,2,1,Male,65,2,4,Married,No,4,4,22,No
37,Travel_Rarely,Research & Development,Remote,3,2,Male,65,4,1,Married,Yes,3,1,8,No
35,Travel_Frequently,Research & Development,office,3,2,Female,37,3,2,Single,No,3,4,10,No
42,Non-Travel,Research & Development,Remote,2,3,Female,36,3,2,Divorced,No,3,2,11,No
38,Travel_Rarely,Research & Development,office,4,4,Male,88,3,2,Married,No,3,2,14,No
38,Travel_Rarely,Research & Development,Remote,3,4,Male,54,3,2,Married,No,3,1,9,No
27,Travel_Frequently,Research & Development,office,1,3,Male,60,2,2,Married,No,3,3,6,No
49,Non-Travel,Research & Development,Hybrid,4,4,Male,92,3,2,Divorced,Yes,3,1,7,No
34,Travel_Frequently,Research & Development,office,4,4,Male,43,3,1,Divorced,Yes,3,4,5,No
40,Travel_Rarely,Research & Development,Hybrid,2,3,Male,99,3,2,Married,Yes,3,3,15,No
38,Travel_Rarely,Research & Development,Remote,1,2,Male,70,3,2,Married,Yes,3,2,17,Yes
29,Travel_Rarely,Sales,Remote,3,2,Female,35,3,3,Married,No,4,4,10,Yes
22,Travel_Rarely,Research & Development,office,3,4,Male,60,4,1,Divorced,Yes,3,1,4,No
36,Travel_Frequently,Research & Development,Hybrid,1,2,Female,73,3,1,Single,No,3,1,8,No
40,Non-Travel,Research & Development,office,5,4,Male,63,2,2,Married,No,3,4,5,No
46,Travel_Rarely,Research & Development,office,4,4,Male,97,3,3,Divorced,No,3,3,17,No
32,Travel_Rarely,Sales,office,4,4,Male,32,1,3,Married,No,3,3,14,Yes
30,Non-Travel,Research & Development,office,1,3,Male,88,2,3,Single,No,4,3,12,No
27,Travel_Frequently,Sales,Hybrid,3,4,Female,90,3,2,Single,No,3,4,7,No
51,Travel_Rarely,Research & Development,office,4,2,Male,81,2,3,Married,No,3,4,16,No
30,Travel_Rarely,Research & Development,office,3,4,Female,88,3,1,Single,Yes,3,3,8,Yes
41,Travel_Rarely,Sales,office,3,4,Female,75,3,3,Single,Yes,3,3,16,No
30,Travel_Frequently,Sales,Remote,4,3,Female,52,2,2,Single,No,3,3,9,Yes
29,Travel_Rarely,Research & Development,office,3,3,Male,85,3,1,Single,No,3,4,7,Yes
45,Non-Travel,Sales,office,3,4,Female,57,2,3,Single,No,3,4,23,No
54,Travel_Rarely,Sales,office,3,4,Female,52,3,2,Married,No,3,4,16,No
36,Travel_Rarely,Research & Development,office,2,4,Male,62,3,2,Single,No,3,4,16,No
33,Travel_Rarely,Research & Development,office,4,3,Female,47,2,1,Married,No,4,4,7,No
37,Travel_Frequently,Research & Development,Hybrid,3,2,Male,47,3,3,Divorced,Yes,3,3,10,No
38,Travel_Rarely,Sales,office,3,1,Male,76,3,3,Divorced,No,3,3,17,No
31,Non-Travel,Research & Development,office,4,3,Male,90,1,2,Married,No,3,4,6,No
59,Travel_Rarely,Research & Development,office,3,3,Male,70,2,1,Married,No,3,1,7,No
37,Travel_Frequently,Sales,office,4,1,Male,41,3,1,Divorced,No,3,3,13,No
29,Travel_Frequently,Sales,office,1,2,Female,42,3,3,Married,No,3,4,11,No
35,Travel_Frequently,Sales,office,3,3,Female,92,3,3,Single,No,3,1,10,No
29,Travel_Rarely,Research & Development,Hybrid,1,3,Male,86,2,1,Single,Yes,3,3,4,Yes
52,Travel_Rarely,Research & Development,office,3,3,Female,89,2,1,Single,No,3,2,6,No
42,Travel_Rarely,Research & Development,office,2,3,Male,58,3,5,Married,No,3,4,22,No
59,Travel_Rarely,Human Resources,office,2,2,Male,52,3,1,Married,No,3,4,7,No
50,Travel_Rarely,Sales,office,4,4,Female,68,3,5,Divorced,No,3,3,32,No
33,Travel_Rarely,Research & Development,Hybrid,3,3,Male,58,3,1,Married,Yes,3,3,8,Yes
43,Travel_Rarely,Sales,Hybrid,3,4,Female,80,3,4,Married,Yes,4,3,22,No
33,Travel_Rarely,Research & Development,office,2,1,Female,39,3,1,Married,No,4,1,13,Yes
52,Non-Travel,Sales,office,4,1,Male,79,2,5,Single,Yes,3,4,33,No
32,Travel_Rarely,Sales,office,2,3,Female,56,3,1,Married,No,3,1,6,No
32,Travel_Rarely,Research & Development,office,3,4,Male,62,2,1,Single,Yes,3,4,4,Yes
39,Travel_Rarely,Research & Development,office,4,3,Female,96,3,1,Divorced,No,3,3,7,No
32,Non-Travel,Sales,Remote,4,3,Male,100,3,2,Married,No,3,1,4,No
41,Travel_Rarely,Research & Development,Hybrid,2,3,Male,36,3,2,Divorced,No,3,1,17,No
40,Travel_Rarely,Research & Development,Remote,2,1,Male,62,3,2,Divorced,No,3,1,9,No
45,Travel_Rarely,Research & Development,office,3,3,Male,70,4,5,Married,No,3,3,25,No
31,Travel_Frequently,Research & Development,office,4,2,Male,73,3,3,Divorced,No,3,1,9,No
33,Travel_Rarely,Research & Development,office,4,3,Female,63,2,1,Married,No,3,3,2,No
34,Travel_Rarely,Research & Development,office,4,4,Male,84,2,2,Married,No,3,2,13,No
37,Travel_Rarely,Research & Development,office,2,3,Female,83,2,1,Married,No,3,1,17,No
45,Travel_Frequently,Research & Development,office,4,1,Male,77,4,2,Married,No,3,4,9,No
37,Travel_Frequently,Research & Development,office,3,1,Male,61,3,3,Divorced,No,3,2,17,Yes
39,Travel_Frequently,Research & Development,office,4,3,Female,64,3,3,Single,No,4,4,20,No
29,Travel_Rarely,Research & Development,Hybrid,3,3,Male,60,3,1,Single,No,3,1,6,No
42,Travel_Rarely,Research & Development,Hybrid,2,4,Female,82,4,2,Single,Yes,3,3,10,No
29,Travel_Rarely,Sales,Hybrid,2,4,Male,45,3,2,Divorced,No,3,4,10,No
25,Travel_Rarely,Research & Development,office,3,1,Female,62,3,2,Married,No,3,4,5,No
42,Travel_Rarely,Research & Development,office,3,4,Female,56,2,1,Divorced,Yes,3,3,10,No
40,Travel_Rarely,Research & Development,office,2,1,Male,49,3,5,Divorced,No,3,4,22,No
51,Travel_Rarely,Research & Development,office,3,3,Male,96,3,1,Married,No,3,2,1,No
31,Travel_Frequently,Research & Development,Remote,2,3,Male,71,2,1,Single,No,3,2,6,Yes
32,Travel_Frequently,Research & Development,office,3,2,Male,100,4,1,Married,No,4,3,5,No
38,Non-Travel,Sales,office,2,4,Male,39,2,2,Married,No,3,4,13,No
32,Travel_Rarely,Research & Development,office,1,4,Male,84,2,2,Single,No,3,4,9,No
46,Travel_Rarely,Sales,office,3,3,Female,75,1,4,Married,Yes,3,2,28,No
28,Travel_Rarely,Research & Development,office,4,1,Male,79,3,1,Single,No,3,3,5,Yes
29,Travel_Rarely,Sales,office,3,1,Male,78,2,2,Married,No,3,2,10,No
31,Travel_Rarely,Research & Development,Remote,3,2,Male,64,2,2,Married,No,4,2,10,No
25,Non-Travel,Research & Development,office,2,2,Male,85,4,2,Divorced,No,3,4,6,No
45,Travel_Rarely,Research & Development,Hybrid,2,3,Male,79,3,4,Married,Yes,3,2,21,No
36,Travel_Rarely,Research & Development,office,3,4,Male,47,3,1,Married,No,3,3,16,No
55,Travel_Rarely,Research & Development,office,3,4,Male,81,3,5,Single,Yes,3,3,37,No
47,Non-Travel,Research & Development,Remote,4,1,Male,88,3,3,Married,Yes,3,4,10,Yes
28,Travel_Rarely,Research & Development,office,3,4,Male,94,3,1,Married,No,4,4,5,No
37,Travel_Rarely,Sales,office,4,3,Male,98,3,2,Married,No,3,2,7,No
21,Travel_Rarely,Research & Development,office,2,4,Male,100,2,1,Single,No,3,1,3,No
37,Non-Travel,Research & Development,office,4,1,Female,80,3,3,Divorced,Yes,3,1,15,No
35,Travel_Rarely,Research & Development,Remote,3,2,Female,71,4,3,Divorced,No,3,2,10,No
38,Travel_Rarely,Sales,office,2,1,Female,44,4,2,Divorced,Yes,4,3,8,No
26,Travel_Frequently,Research & Development,office,3,3,Female,84,3,2,Divorced,No,4,1,6,No
50,Travel_Rarely,Research & Development,office,1,1,Male,96,3,5,Divorced,No,3,1,28,No
53,Travel_Rarely,Research & Development,office,4,3,Male,45,3,4,Married,Yes,3,4,21,No
42,Travel_Rarely,Sales,office,1,2,Male,99,3,2,Married,No,4,3,20,No
29,Travel_Frequently,Sales,office,2,2,Male,44,3,2,Single,No,3,1,10,No
55,Travel_Rarely,Research & Development,Hybrid,2,2,Male,37,3,2,Married,Yes,3,4,12,No
26,Travel_Frequently,Research & Development,Hybrid,2,1,Male,60,3,2,Married,Yes,3,3,5,No
37,Travel_Rarely,Research & Development,office,3,4,Female,42,3,1,Single,No,3,2,17,No
44,Travel_Frequently,Research & Development,Remote,3,4,Male,43,3,1,Divorced,Yes,4,4,19,Yes
38,Travel_Rarely,Research & Development,Remote,4,4,Male,82,3,2,Divorced,No,3,2,10,No
26,Travel_Rarely,Research & Development,Hybrid,4,1,Male,45,3,1,Divorced,Yes,3,4,5,Yes
28,Travel_Rarely,Research & Development,office,2,4,Female,66,3,1,Single,No,4,4,5,No
49,Travel_Frequently,Research & Development,office,4,3,Female,35,3,5,Single,Yes,3,4,22,No
36,Travel_Rarely,Research & Development,office,3,3,Male,30,3,2,Single,No,3,4,10,No
31,Travel_Frequently,Sales,office,3,4,Female,84,3,1,Divorced,No,3,3,2,No
26,Travel_Rarely,Sales,office,4,4,Male,48,2,2,Single,Yes,3,2,8,Yes
37,Travel_Frequently,Research & Development,office,3,2,Male,53,3,1,Married,Yes,3,3,4,No
42,Travel_Frequently,Sales,Remote,3,3,Female,77,3,4,Married,No,3,4,23,No
